epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4282.55,0.78946,1.1932,0.87519,0.63689,0.6812,0.6342,0.55457,0.66189,1.20603,0.868,0.000424187,0.000424187,0.000424187
43,4413.8,0.76213,1.20064,0.86358,0.63367,0.68396,0.66411,0.58053,0.64653,1.14409,0.85926,0.000417119,0.000417119,0.000417119
44,4570.33,0.85868,1.24613,0.89065,0.65092,0.68643,0.67672,0.58391,0.65737,1.14233,0.85443,0.00041005,0.00041005,0.00041005
45,4713.33,0.72238,1.18274,0.85753,0.65531,0.70099,0.66322,0.57671,0.62411,1.15866,0.84914,0.000402982,0.000402982,0.000402982
46,4847.74,0.80507,1.21728,0.88011,0.65743,0.68478,0.63903,0.55343,0.62916,1.13714,0.84676,0.000395913,0.000395913,0.000395913
47,4991.29,0.80153,1.19952,0.86765,0.63454,0.71983,0.65661,0.56781,0.6175,1.14577,0.843,0.000388844,0.000388844,0.000388844
48,5118.24,0.77189,1.16559,0.86526,0.63509,0.69981,0.65135,0.55742,0.63335,1.15171,0.84619,0.000381776,0.000381776,0.000381776
49,5220.96,0.74786,1.15233,0.86535,0.63439,0.70743,0.63476,0.55035,0.61723,1.11006,0.84283,0.000374707,0.000374707,0.000374707
50,5321.39,0.80918,1.18316,0.86617,0.58387,0.74802,0.64453,0.558,0.60512,1.10638,0.8317,0.000367639,0.000367639,0.000367639
51,5407.77,0.71935,1.12988,0.85988,0.61241,0.72335,0.64928,0.55395,0.60736,1.12658,0.83219,0.00036057,0.00036057,0.00036057
52,5491.51,0.7386,1.17661,0.86208,0.68406,0.68999,0.64905,0.56914,0.59744,1.0924,0.83532,0.000353501,0.000353501,0.000353501
53,5576.86,0.76419,1.15066,0.87221,0.67585,0.69816,0.64516,0.56479,0.61168,1.10747,0.84303,0.000346433,0.000346433,0.000346433
54,5675.86,0.74833,1.14248,0.86748,0.66164,0.70401,0.65877,0.57327,0.60284,1.15025,0.83714,0.000339364,0.000339364,0.000339364
55,5762.36,0.76814,1.13345,0.86183,0.62494,0.73405,0.62746,0.55126,0.58892,1.09448,0.83309,0.000332296,0.000332296,0.000332296
56,5842.62,0.7283,1.0875,0.85801,0.64211,0.71243,0.64335,0.55392,0.59541,1.06054,0.83176,0.000325227,0.000325227,0.000325227
57,5923.24,0.75122,1.12707,0.86663,0.65938,0.72027,0.65074,0.55935,0.59771,1.07482,0.83494,0.000318158,0.000318158,0.000318158
